,name,link,caption_top,caption_bottom,local_link,votes
0,Ash Meme,/Ash-Meme,I beedrillin and squritin,all over these geodudes,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,5
1,Ash Meme,/Ash-Meme,Ay GIRL,lemme stick ma gyarados up in dat cloyster,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,2
2,Ash Meme,/Ash-Meme,,.,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
3,Ash Meme,/Ash-Meme,AY GURL AY,RHYDON MY TIMBURR  TIL I SQUIRTLE MUK IN YER CLAMPERL,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,2
4,Ash Meme,/Ash-Meme,AYE GIRL,I just got a Pikachu and I like them Jigglypuffs,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,2
5,Ash Meme,/Ash-Meme,Ay gurl,do you play WoW? because you just cast levitate in my pants,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,2
6,Ash Meme,/Ash-Meme,Legalize,medicinal crystal meth,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,2
7,Ash Meme,/Ash-Meme,DAM GURL,DAT ASS,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
8,Ash Meme,/Ash-Meme,DAM ELEX,DAT FACE,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
9,Ash Meme,/Ash-Meme,Ay Gurl ay,Lemi Raichu a poem for valentines day,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
10,Ash Meme,/Ash-Meme,ay gurl,lemme take a pikachu at dem jigglypuffs,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
11,Ash Meme,/Ash-Meme,Ay GUrl,Is your face a canvas? Cause i wanna paint that sheet,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
12,Ash Meme,/Ash-Meme,Ay gurl,lemme take a pikachu jigglypuffs,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
13,Ash Meme,/Ash-Meme,MAMI VENGA,LE MUESTRO MI PICACHO,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
14,Ash Meme,/Ash-Meme,Hey Kid!?,Want Some Pikachus?!,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,1
15,Ash Meme,/Ash-Meme,Lol jack,Medfly does not :3,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
16,Ash Meme,/Ash-Meme,AY GIRL,CAN I GET YO NUMBER,/u/as3ek/github/reversible-meme/data/images/Ash-Meme.png,0
